TRUE	Passed	Passed	Draft	{Select One}	{Select One}	{Select One}	{Select One}	{Select One}	{Select One}	{Select One}
FALSE	Not Scheduled	Not Run	Locked	Performance	Audio	4	External	No	%	Min Value and Higher
	Scheduled	In Progress	TO BE ANALYSED	Power	Aware	3	Internal	Yes	°C	Max Value and Lower
	Failed	Failed	NOT COMPLIANT TO DATA MODEL	Reliability	Board (PCB)	2	Customer Specific		µA	Min-Max Value Range
	Blocked	Blocked	Catalog Candidate	Responsiveness	CAM	1	Development Internal		µs	
			Deprecated	Thermal	Cellular Modem (Group)				µV	
					Cellular Modem.2G				µW	
					Cellular Modem.3G				µWHr/image	
					Cellular Modem.CDMA2000				A	
					Cellular Modem.IMS				bit	
					Cellular Modem.LTE				BxU	
					Cellular Modem.Multi SIM				byte	
					Cellular Modem.Positioning				characters/s	
					Cellular Modem.RF				cm	
					Cellular Modem.SIM				cycles	
					Cellular Modem.TD-SCDMA				cycles/pixel	
					Chassis				dB	
					Clock				dBµVrms	
					Coexistence				dBc	
					Computer Vision				dBFS	
					Connectivity (Group)				dBm	
					Connectivity.Bluetooth				dBm/Core	
					Connectivity.FMradio				dBm/Hz	
					Connectivity.GNSS				dBm/MHz	
					Connectivity.Location				dBm/MHz/Core	
					Connectivity.NFC				dBm0	
					Connectivity.WiFi				dBPa	
					Connectivity.WiGig				dBSPL	
					Content Protection				Degrees	
					CPU				dhrystones/s	
					Debug (and Trace)				dpi	
					Diagnostic				dpm	
					Display				EV - stop	
					Display.Wireless Display				f/s	
					Fabric				files/s	
					Flashing SW Update				fps	
					Graphics				ft	
					Imaging				g	
					IO (Group)				Gbit	
					IO.Ethernet				Gbit/s	
					IO.HSIO				Gbyte	
					IO.Interprocessor Communication				Gbyte/s	
					IO.LSIO				GHz	
					IO.PCIe				h	
					IO.Thunderbolt				Hz	
					IO.Touch				inch	
					IO.USB				IO operations/s	
					IO.User Interface				iterations	
					Manageability				J	
					Manufacturability				kBd	
					Memory				kbit	
					Operating System				kbit/sec	
					Package				kbyte	
					Power Management (Group)				kbyte/s	
					"Power Management.Battery (Ex: charging, detection, identification)"				kg	
					"Power Management.Consumption (Ex: reduction, targets)"				kHz	
					Power Management.Power Delivery (Ex: Internal: power rails; deliver to USB device)				kS/s	
					Power Management.Wireless Charging				kV	
					RAS (Reliability Availability Serviceability) (Group)				lux	
					RAS.Availability				m	
					RAS.Reliability				m/s	
					RAS.Serviceability				mA	
					Regulatory (Group)				mAh	
					Regulatory.Ecology				Mbit	
					Regulatory.EMC				Mbit/s	
					Regulatory.EnergyEfficiency				Mbyte	
					Regulatory.Packaging				Mbyte/s	
					Regulatory.Safety				messages/s	
					Regulatory.Wireless				MHz	
					Reset (Power Up Power Down)				min	
					Security				MIPS	
					Security.SGX				mm	
					Sensor				mm^2	
					Storage				mm^3	
					Storage.RSTe				MOS	
					Storage.VMD				m-pixels/sec	
					Thermal Management				MPxl	
					Tool				ms	
					Unclassified				m-triangles/sec	
					Validation (and Verification)				MTS	
					Video				mVpp	
					Virtualization				mVrms	
									mW	
									mW/fps	
									mW/Mbps	
									mWh	
									N/A	
									nA	
									net QUIPS	
									ns	
									P=1/F=0	
									packets	
									Pure Number	
									Pxl	
									Quantity	
									s	
									s/1000 iterations	
									s/pass	
									Score	
									seeks/s	
									Tbyte	
									Triangles/s	
									US$	
									V	
									W	
									whetstones/s	
									years	
