ID	Name	Description	Generic Part Is	KPI	Owner	Type	Domain	Priority	Specific To	Source	Rationale	Applicability	Planned Debug Start Date	Actual Debug Start Date	Last Activity Date	Waiver	Reference Value	# of Upstream Relationships	Max	# of Downstream Relationships	Target (Typical)	Min	Units	Target Type	Conditions (old)	Created By	Created Date	Modified By	Modified Date	Project	Item Type	Workspace Name	=========Definition_Generic_Fields=========	=========Definition_Specific_Fields=========
5_555-KPI-151	Browser start time w/ background activities	Time to start Browser while having background activities	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		No	Unassigned	Unassigned	02/01/2017			0	0.5	0	0.5		s	Max Value and Lower		Ove Armbrust	10/14/2016	sys_JTFAdmin sys_JTFAdmin	02/01/2017	OTC One Android	Performance Indicator			
5_555-KPI-152	Browser start time (cold launch)	Cold launch - Response time to start Browser to defined web page	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0	0.6	0	0.6		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-153	RL benchmark - SQLite	RL benchmark - SQLite	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0	8500	0	8500		ms	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-154	First boot time after flash/update	First boot time after flash/update	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0	1500	0	1500		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-155	Sleep power draw	"Sleep power draw: modem in standby to accept remote service requests. CAN Xcvr, RTC, BLE, modem powered."	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	2.8	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-156	Polling mode 1 power draw	"Polling mode 1 power draw: modem wakes up every 15 minutes to check for remote service requests and then powers down (if no request). CAN Xcvr, RTC, BLE, modem powered. Target is average for whole 15 minute cycle."	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	2.8	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-157	Off power draw	"""Off"" power draw: HU off, modem off, all polling timers expired, ignition off for more than 28 days. CAN Xcvr for wakeup, RTC, BLE powered"	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	02/09/2017			0	0.1	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Sean WX Mckeon	02/09/2017	OTC One Android	Performance Indicator			
5_555-KPI-158	Resume fast boot mode power draw	"""RESUME fast boot mode"" power draw: HU can boot up to full HMI and remote services in less than 5s (power draw per 30 mins)"	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	250	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-159	Suspend to RAM fast boot mode power draw	"""SUSPEND TO RAM fast boot mode"" power draw: HU can boot up to full HMI and remote services in less than 5s (power draw per 24 hrs)"	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	5	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-160	Polling mode 2 power draw	"Polling mode 2 power draw: modem wakes up every 30 minutes to check for remote service requests and then powers down (if no request). CAN Xcvr, RTC, BLE, modem powered. Target is average for whole 15 minute cycle."	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	1	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-161	Emergency load shed mode (5 min call)	Emergency load shed mode (5 min call)	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	400	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-162	Emergency load shed mode (30 mins standby)	Emergency load shed mode (30 mins standby)	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	40	0			mA	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-163	Max memory load while running FCA usecases	Max memory load while running FCA usecases	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	70%	0			{Select One}	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-164	Max CPU load while running FCA usecases	Max CPU load while running FCA usecases	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	70%	0			{Select One}	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-165	Max eMMC usage	Max eMMC usage	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	FCA		No	Unassigned	Unassigned	10/14/2016			0	70%	0			{Select One}	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-166	USB Startup Re-Synch	"USB drive with 1200 songs has previously been indexed. 
Ignition is off, CAN asleep. The same drive without any changes is plugged into the IVI.
Measure the time between ignition on (signal on CAN) and the display shows ""load complete"" (or similar).
Note: In the original GM MY17 KPIs, the target for this is 8 seconds."	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	1	0	1		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-167	USB Startup Re-Synch w/update	"USB drive with 1200 songs has previously been indexed. 
Ignition is off, CAN asleep. The same drive with one file added or deleted is plugged into the IVI.
Measure the time between ignition on (signal on CAN) and the display shows ""load complete"" (or similar).
Note: In the original GM MY17 KPIs, the target for this is 8 seconds."	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	4	0	4		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-168	Display Latency	"Display Latency
This measures how long it takes to update the screen after some event (for example, touch on the display --> time until a button looks ""depressed"" on screen). This tests the whole stack, not just the hardware display latency.
PnP QA to create a dedicated APK to full-screen display something, and change to another thing after touch on the screen, and measurement the latency."	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	100	0	100		ms	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-169	Switching Sources	Switching Sources	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/14/2016			0	1	0	1		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-170	Time to show splash screen coming from sleep/deep sleep mode	Time to show splash screen coming from sleep/deep sleep mode	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/14/2016			0	1	0			s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-171	Map Display rendering time	Map Display rendering time	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/14/2016			0	0.1	0			s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-172	Firmware update time	Time to complete a firmware update for the CSM	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	8	0	8		min	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-173	Cold boot to non-critical chime playback (internal amplifier)	"Play non-critical chime (audio) in 6 seconds or less after receiving a request to do so from the ""off"" state. The chime is basically selected from a set of (prerecorded) waveforms and played back, for example: blinker sound, rear gear selected sound, ...
Related AREQ: https://jira01.devtools.intel.com/browse/AREQ-21676"	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM		Yes	Unassigned	Unassigned	01/18/2017			0	6	0	6		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-174	Cold boot to splash screen and play boot animation	"Show splash screen and play boot animation
Note: This is the regular Android boot animation, consisting of a sequence of PNG files that are displayed at 30fps. Similar to an animated GIF. This is not video playback. There is no audio."	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	LGE		Yes	Unassigned	Unassigned	02/03/2017			0	4	0	4		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	02/03/2017	OTC One Android	Performance Indicator			
5_555-KPI-175	Time to play AM/FM audio after boot	Time to play AM/FM audio after boot	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	"GM MY17/18, Harman"		No	Unassigned	Unassigned	10/14/2016			0	2	0	2		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-176	Cold boot to Android UI	Cold boot to Android UI	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Ryan Matsumura		Yes	Unassigned	Unassigned	01/18/2017			0	7	0	7		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-177	Warm Boot to Android UI (from ACPI S3)	Warm Boot to Android UI (from ACPI S3)	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Ryan Matsumura		Yes	Unassigned	Unassigned	01/18/2017			0	1	0	1		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-178	Warm Boot to Rear View Camera (from ACPI S3)	Warm Boot to Rear View Camera (from ACPI S3)	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	2	0	2		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-179	RVC App launch time	"When the device is on (IVI is booted to Android), the time from when the reverse gear is selected until the RVC app is started and displays the RVC camera video."	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	"GM MY17/, FCA, Harman"		Yes	Unassigned	Unassigned	01/18/2017			0	1	0	1		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-180	App launch time (e.g. Pandora)	App launch time (e.g. Pandora)	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/21/2016			0	0.5	0	0.5		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	10/21/2016	OTC One Android	Performance Indicator			
5_555-KPI-181	Mosaic display latency	"Measure the latency between the two HDMI 1.4 outputs of our IVI device.

Extra info: The Tier1 will have to synchronize Mosaic mode with two displays. One display will be connected to our IVI device (SOURCE), the other one through a second instrument cluster device (SINK). The SOURCE generates the content of both displays and outputs it through two HDMI 1.4 connectors. HW tolerance is .5% drift between the two HDMI outputs. There is a SW component that can correct this drift. The maximum latency accepted for N.car will be one frame (16.67 ms) between the two HDMI outputs on the SOURCE device."	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Guobing/Ove		Yes	Unassigned	Unassigned	01/18/2017			0	16.67	0	16.67		ms	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-182	Gallery flinging frame rate	Frame rate while flinging image list in Gallery	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	60	60	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-183	Browser kinetic panning frame rate	Frame rate of web page kinetic panning in browser	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	60	60	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-184	USB2 MTP Read Large File as Host	"With IVI being the host, read a large file via USB2 MTP.

We referenced youtube’s video bit rate recommendation (https://support.google.com/youtube/answer/1722171?hl=en) and take H264 4K60fps as a base line.
Average bit rate: 4K60fps H.264 video + 5.1 channel audio = 68.5Mb/s
Due to existence of variation of the bit rate, we need to set enough headroom in this performance criteria to make sure all variations could be absorbed.
So we are considering whether apply a x2 ratio to form the target, i.e. 68.5Mb/s x2 = 137 Mb/s = 17.125 MB/s -> 18MB/s"	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	18	18	Mbyte/s	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-185	H.264/MPEG-4 AVC 1080p60	H.264/MPEG-4 AVC 1080p60	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	60	60	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-186	USB3 MTP Read Large File as Host	"With IVI being the host, read a large file via USB3 MTP.

We referenced youtube’s video bit rate recommendation (https://support.google.com/youtube/answer/1722171?hl=en) and take H264 4K60fps as a base line.
Average bit rate: 4K60fps H.264 video + 5.1 channel audio = 68.5Mb/s
Due to existence of variation of the bit rate, we need to set enough headroom in this performance criteria to make sure all variations could be absorbed.
So we are considering whether apply a x2 ratio to form the target, i.e. 68.5Mb/s x2 = 137 Mb/s = 17.125 MB/s -> 18MB/s"	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	18	18	Mbyte/s	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-188	H.265/HEVC 1080p60 playback	H.265/HEVC 1080p60 playback	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	60	60	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-189	Antutu 5.6 total	Antutu Total	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	62146	62146	Score	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-190	H.264 4kx2kp60 playback	H.264 4kx2kp60 playback - limited to 30 fps due to HDMI 1.4 limitations	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	30	30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-191	H.265/HEVC 4kx2kp60 playback	H.265/HEVC 4kx2kp60 playback - limited to 30fps due to HDMI 1.4 limitations	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	30	30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-192	VP9 1080p30 playback	VP9 1080p30 playback	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	30	30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-193	JIO Random Read MT UFS (/data)	JIO Random Read MT UFS (/data)	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	3300	3300	IO operations/s	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-194	VP9 4kx2kp30 playback	VP9 4kx2kp30 playback	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	30	30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-195	H.265/HEVC 4kx2kp60 - 10bits playback	H.265/HEVC 4kx2kp60 - 10bits playback - limited to 30fps due to HDMI 1.4 limitations	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0		0	30	30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-196	Map Rendering	Map Rendering	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/14/2016			0		0		30	fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-197	Sound Quality Performance	Sound Quality Performance	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		No	Unassigned	Unassigned	10/14/2016			0	R/Y/G (Scale 1-10)	0			{Select One}	{Select One}		Ove Armbrust	10/14/2016	Ove Armbrust	10/14/2016	OTC One Android	Performance Indicator			
5_555-KPI-198	S3 mode power consumption (module)	Power consumption in S3 (suspend to RAM) mode for the module including RAM.	Draft	TRUE	Chris Peskin	Power	{Select One}	1	{Select One}	Intel PRD		Yes	Unassigned	Unassigned	01/18/2017			0	60	0	60		mW	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-199	Cold boot to splash screen	Cold boot to splash screen	Draft	TRUE	Chris Peskin	Performance	{Select One}	1	{Select One}	GM MY17/18		Yes	Unassigned	Unassigned	01/18/2017			0	1	0	1		s	Max Value and Lower		Ove Armbrust	10/14/2016	Ove Armbrust	01/18/2017	OTC One Android	Performance Indicator			
5_555-KPI-202	Citybench benchmark	This was split into the 3840x1080 and the benchmark on 1 display/2 1080p vidoes on another display items.	Draft	TRUE	Chris Peskin	Performance	{Select One}	2	{Select One}	TSD		No	Unassigned	Unassigned	02/08/2017			0		0			fps	Min Value and Higher		Ove Armbrust	10/14/2016	Ove Armbrust	02/08/2017	OTC One Android	Performance Indicator			
